id,district,locality,families,households,population,male,female
162,Siraha,Golbazar ,13214,10853,65263,32258,33005
163,Siraha,Kalyanpur ,12491,9869,59986,28789,31197
164,Siraha,Karjanha ,8440,6696,38940,18965,19975
165,Siraha,Lahan ,21488,17832,102955,51063,51892
166,Siraha,Laxmipur Patari  ,6666,5235,31103,14912,16191
167,Siraha,Mirchaiya ,12905,10496,60086,30054,30032
168,Siraha,Naraha  ,4419,3787,23656,12319,11337
169,Siraha,Nawarajpur  ,4268,3214,20832,10214,10618
170,Siraha,Sakhuwanankarkatti  ,4263,3223,20951,10230,10721
171,Siraha,Siraha ,19810,15310,96543,47306,49237
172,Siraha,Sukhipur ,8912,7192,42547,21189,21358
173,Dhanusa,Aaurahi  ,4846,4036,24338,11773,12565
174,Dhanusa,Bateshwor  ,4766,3903,21473,10670,10803
175,Dhanusa,Bideha ,7764,6156,37881,18446,19435
176,Dhanusa,Chhireshwornath ,10826,8913,53031,26708,26323
177,Dhanusa,Dhanauji  ,4683,3704,21960,10481,11479
178,Dhanusa,Dhanusadham ,10959,9216,53035,26337,26698
179,Dhanusa,Ganeshman Charnath ,9400,8139,44900,21982,22918
180,Dhanusa,Hansapur ,8958,7336,44929,21997,22932
181,Dhanusa,Janaknandani  ,5627,4480,28267,13556,14711
182,Dhanusa,Janakpurdham Sub-Metropolitian City,41941,32612,195438,100417,95021
183,Dhanusa,Kamala ,9160,7332,45477,22103,23374
184,Dhanusa,Lakshminiya  ,6609,5409,33212,16161,17051
185,Dhanusa,Mithila Bihari ,7651,6094,38008,18830,19178
186,Dhanusa,Mithila ,10522,9159,47408,23715,23693
187,Dhanusa,Mukhiyapatti Musarmiya  ,5585,4467,29351,14937,14414
188,Dhanusa,Nagarain ,7962,6426,37949,18682,19267
189,Dhanusa,Sabaila ,12279,10144,62510,30630,31880
190,Dhanusa,Sahidnagar ,11288,8944,53546,26387,27159
191,Mahottari,Aurahi ,7841,6376,40834,20496,20338
192,Mahottari,Balwa ,10052,8139,50031,24606,25425
193,Mahottari,Bardibas ,15938,13635,68353,34179,34174
194,Mahottari,Bhangaha ,11336,9017,56570,27508,29062
195,Mahottari,Ekdanra  ,6000,4735,32060,16099,15961
196,Mahottari,Gaushala ,16090,13367,73008,36367,36641
197,Mahottari,Jaleswor ,13685,10607,63501,31620,31881
198,Mahottari,Loharpatti ,9627,7658,46336,22359,23977
199,Mahottari,Mahottari  ,6845,5430,32652,16211,16441
200,Mahottari,Manra Siswa ,9343,7691,49126,24418,24708
201,Mahottari,Matihani ,7356,5748,36063,17620,18443
